x_pos, x_pwm, x_speed
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
0, 99, 0
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
1, 99, 0.20271258
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
2, 99, 672.04297
3, 99, 1004.01605
3, 99, 1004.01605
3, 99, 1004.01605
3, 99, 1004.01605
3, 99, 1004.01605
3, 99, 1004.01605
3, 99, 1004.01605
3, 99, 1004.01605
4, 99, 1251.5645
4, 99, 1251.5645
4, 99, 1251.5645
4, 99, 1251.5645
4, 99, 1251.5645
4, 99, 1251.5645
4, 99, 1251.5645
5, 99, 1447.178
5, 99, 1447.178
5, 99, 1447.178
5, 99, 1447.178
5, 99, 1447.178
5, 99, 1447.178
5, 99, 1447.178
6, 99, 1455.6041
6, 99, 1455.6041
6, 99, 1455.6041
6, 99, 1455.6041
6, 99, 1455.6041
6, 99, 1455.6041
7, 99, 1692.0474
7, 99, 1692.0474
7, 99, 1692.0474
7, 99, 1692.0474
7, 99, 1692.0474
8, 98.99999, 2028.3975
8, 98.999985, 2028.3975
8, 98.99998, 2028.3975
8, 98.99997, 2028.3975
8, 98.99996, 2028.3975
9, 98.999985, 1956.9471
9, 99, 1956.9471
9, 99, 1956.9471
9, 99, 1956.9471
9, 99, 1956.9471
10, 99, 2004.0079
10, 99, 2004.0079
10, 99, 2004.0079
10, 99, 2004.0079
11, 98.997284, 2531.6455
11, 98.99435, 2531.6455
11, 98.99141, 2531.6455
11, 98.98847, 2531.6455
12, 98.98652, 2433.09
12, 98.98464, 2433.09
12, 98.98273, 2433.09
12, 98.98085, 2433.09
13, 98.97866, 2463.0542
13, 98.97643, 2463.0542
13, 98.974205, 2463.0542
14, 98.95799, 3236.246
14, 98.942406, 3236.246
14, 98.92682, 3236.246
14, 98.91123, 3236.246
15, 98.90916, 2450.9805
15, 98.90704, 2450.9805
15, 98.90493, 2450.9805
16, 98.88821, 3267.9739
16, 98.8718, 3267.9739
16, 98.8554, 3267.9739
16, 98.839, 3267.9739
17, 98.83687, 2457.0024
17, 98.834694, 2457.0024
17, 98.83252, 2457.0024
18, 98.816345, 3246.7534
18, 98.79986, 3246.7534
18, 98.784004, 3246.7534
19, 98.76779, 3236.246
19, 98.752205, 3236.246
19, 98.736305, 3236.246
19, 98.720406, 3236.246
20, 98.71831, 2444.9878
20, 98.71625, 2444.9878
20, 98.714226, 2444.9878
21, 98.69774, 3246.7534
21, 98.681885, 3246.7534
21, 98.66571, 3246.7534
22, 98.649536, 3246.7534
22, 98.63305, 3246.7534
22, 98.616875, 3246.7534
23, 98.60039, 3246.7534
23, 98.58453, 3246.7534
23, 98.56868, 3246.7534
24, 98.551956, 3267.9739
24, 98.53523, 3267.9739
25, 98.44905, 4878.049
25, 98.36287, 4878.049
25, 98.27837, 4878.049
26, 98.261696, 3278.6885
26, 98.24435, 3278.6885
26, 98.22733, 3278.6885
27, 98.210884, 3257.3289
27, 98.194435, 3257.3289
27, 98.177986, 3257.3289
28, 98.16181, 3246.7534
28, 98.14596, 3246.7534
29, 98.05834, 4901.961
29, 97.972435, 4901.961
29, 97.883095, 4901.961
30, 97.86661, 3246.7534
30, 97.85043, 3246.7534
30, 97.83458, 3246.7534
31, 97.81813, 3257.3289
31, 97.802, 3257.3289
32, 97.716095, 4901.961
32, 97.62848, 4901.961
32, 97.54257, 4901.961
33, 97.52612, 3257.3289
33, 97.509995, 3257.3289
34, 97.42212, 4878.049
34, 97.33762, 4878.049
34, 97.25313, 4878.049
35, 97.23668, 3257.3289
35, 97.22023, 3257.3289
36, 97.13405, 4878.049
36, 97.04955, 4878.049
37, 96.96194, 4901.961
37, 96.87603, 4901.961
37, 96.79012, 4901.961
38, 96.773445, 3278.6885
38, 96.75643, 3278.6885
39, 96.671936, 4878.049
39, 96.585754, 4878.049
40, 96.49957, 4878.049
40, 96.41508, 4878.049
41, 96.32917, 4901.961
41, 96.241554, 4901.961
42, 96.15368, 4878.049
42, 96.0675, 4878.049
42, 95.983, 4878.049
43, 95.96604, 3289.4739
43, 95.948746, 3289.4739
44, 95.86231, 4854.369
44, 95.77755, 4854.369
45, 95.68993, 4901.961
45, 95.60403, 4901.961
46, 95.51641, 4901.961
46, 95.430504, 4901.961
47, 95.34116, 4901.961
47, 95.25526, 4901.961
48, 95.16764, 4901.961
48, 95.080025, 4901.961
49, 94.99215, 4878.049
49, 94.90597, 4878.049
50, 94.82006, 4901.961
50, 94.73415, 4901.961
51, 94.64507, 4926.1084
51, 94.55599, 4926.1084
52, 94.46981, 4878.049
53, 93.84856, 9803.922
53, 93.2273, 9803.922
54, 93.13996, 4926.1084
54, 93.05262, 4926.1084
55, 92.96644, 4878.049
55, 92.88194, 4878.049
56, 92.796036, 4901.961
56, 92.70842, 4901.961
57, 92.62251, 4901.961
57, 92.536606, 4901.961
58, 92.44899, 4901.961
58, 92.36308, 4901.961
59, 92.274, 4926.1084
59, 92.18666, 4926.1084
60, 92.099045, 4901.961
61, 92.009705, 4901.961
61, 91.92327, 4854.369
62, 91.30202, 9803.922
62, 90.68076, 9803.922
63, 90.59458, 4878.049
63, 90.510086, 4878.049
64, 90.42221, 4878.049
64, 90.33603, 4878.049
65, 90.24841, 4901.961
66, 89.6148, 9803.922
66, 88.993546, 9803.922
67, 88.90567, 4878.049
67, 88.81949, 4878.049
68, 88.73187, 4901.961
69, 88.645966, 4901.961
69, 88.559784, 4878.049
70, 87.94153, 9708.738
70, 87.335335, 9708.738
71, 87.245995, 4901.961
71, 87.156654, 4901.961
72, 87.07022, 4854.369
73, 86.43661, 9803.922
73, 85.81535, 9803.922
74, 85.72774, 4901.961
75, 85.094124, 9803.922
75, 84.46051, 9803.922
76, 84.37433, 4878.049
76, 84.28815, 4878.049
77, 84.20053, 4901.961
78, 83.56692, 9803.922
78, 82.933304, 9803.922
79, 82.84543, 4878.049
80, 82.76093, 4878.049
80, 82.675026, 4901.961
81, 82.02892, 9803.922
81, 81.39531, 9803.922
82, 81.30769, 4901.961
83, 80.68644, 9803.922
83, 80.065186, 9803.922
84, 79.975845, 4901.961
85, 79.345406, 9708.738
85, 78.72715, 9708.738
86, 78.64124, 4901.961
86, 78.555336, 4901.961
87, 78.469154, 4878.049
88, 77.83554, 9803.922
88, 77.21429, 9803.922
89, 77.12667, 4901.961
90, 76.49306, 9803.922
90, 75.8718, 9803.922
91, 75.78446, 4926.1084
92, 75.16621, 9708.738
92, 74.54795, 9708.738
93, 74.46204, 4901.961
94, 73.84079, 9803.922
94, 73.219536, 9803.922
95, 73.13192, 4901.961
96, 72.482445, 9900.99
96, 71.83297, 9900.99
97, 71.74706, 4901.961
98, 71.11345, 9803.922
98, 70.492195, 9803.922
99, 70.402855, 4901.961
100, 69.772415, 9708.738
100, 69.15416, 9708.738
101, 69.06654, 4901.961
102, 68.43293, 9803.922
102, 67.811676, 9803.922
103, 67.7238, 4878.049
104, 67.09019, 9803.922
104, 66.45657, 9803.922
105, 66.36896, 4901.961
106, 65.7477, 9803.922
106, 65.12645, 9803.922
107, 65.03737, 4926.1084
108, 64.41911, 9708.738
109, 63.785496, 9803.922
109, 63.15188, 9803.922
110, 63.0657, 4878.049
111, 62.428898, 9900.99
111, 61.792095, 9900.99
112, 61.705917, 4878.049
113, 61.08766, 9708.738
113, 60.469406, 9708.738
114, 60.380062, 4901.961
115, 59.749626, 9708.738
115, 59.13137, 9708.738
116, 59.045464, 4901.961
117, 58.399364, 9803.922
117, 57.765747, 9803.922
118, 57.67957, 4878.049
119, 57.04595, 9803.922
119, 56.412334, 9803.922
120, 56.32446, 4878.049
121, 55.703205, 9803.922
121, 55.069588, 9803.922
122, 54.98341, 4878.049
123, 54.362156, 9803.922
123, 53.72854, 9803.922
124, 53.64263, 4901.961
125, 53.009014, 9803.922
126, 52.38776, 9803.922
126, 52.301582, 4878.049
127, 51.671146, 9708.738
128, 51.05289, 9708.738
128, 50.4467, 9708.738
129, 50.35936, 4926.1084
130, 49.725742, 9803.922
130, 49.092125, 9803.922
131, 49.005947, 4878.049
132, 48.38769, 9708.738
133, 47.754074, 9803.922
133, 47.120457, 9803.922
134, 47.03258, 4878.049
135, 46.398964, 9803.922
136, 45.768528, 9708.738
136, 45.150272, 9708.738
137, 45.063835, 4854.369
138, 44.417736, 9803.922
139, 43.771637, 9803.922
139, 43.13802, 9803.922
140, 43.050404, 4901.961
141, 42.419968, 9708.738
142, 41.78953, 9708.738
142, 41.183342, 9708.738
143, 41.097164, 4878.049
144, 40.47891, 9708.738
144, 39.87272, 9708.738
145, 39.783638, 4926.1084
146, 39.153202, 9708.738
146, 38.547012, 9708.738
